This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
   61.000000    0.020066    0.000000    0.016089   0.008866   0.007596   0.002046
   62.000000    0.020053    0.000000    0.016102   0.008866   0.007596   0.002046
   63.000000    0.020041    0.000000    0.016115   0.008866   0.007596   0.002046
   64.000000    0.020028    0.000000    0.016127   0.008866   0.007596   0.002046
   65.000000    0.020016    0.000000    0.016139   0.008866   0.007596   0.002046
   66.000000    0.020004    0.000000    0.016152   0.008866   0.007596   0.002046
   67.000000    0.019992    0.000000    0.016164   0.008866   0.007596   0.002046
   68.000000    0.019980    0.000000    0.016176   0.008866   0.007596   0.002046
   69.000000    0.019968    0.000000    0.016188   0.008866   0.007596   0.002046
   70.000000    0.019957    0.000000    0.016200   0.008866   0.007596   0.002046
Finished simulation at a C/O ratio of 1.6
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    1.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    2.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    3.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    4.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    5.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    6.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    7.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    8.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
    9.000000    0.024202    0.012101    0.000000   0.000000   0.000000   0.000000
   10.000000    0.024201    0.012100    0.000000   0.000000   0.000001   0.000000
   11.000000    0.024150    0.011998    0.000000   0.000000   0.000103   0.000052
   12.000000    0.024076    0.011849    0.000000   0.000000   0.000252   0.000126
   13.000000    0.023946    0.011591    0.000000   0.000000   0.000510   0.000255
